date,day_week,open,high,low,close
20191118,1,63.3600000,63.5700000,61.9400000,62.2900000
20191119,2,62.2800000,62.5700000,60.7000000,60.8100000
20191120,3,60.9400000,62.8000000,60.3000000,62.4400000
20191121,4,62.2200000,64.0300000,61.9200000,63.7300000
20191122,5,63.6200000,64.2700000,62.9800000,63.5000000
20191125,1,63.6000000,63.8000000,62.4800000,62.5800000
20191126,2,62.6800000,63.2600000,62.4200000,63.0300000
20191127,3,62.9600000,63.5800000,62.4600000,63.0900000
20191128,4,62.8400000,63.3500000,62.5100000,63.2800000
20191129,5,63.2000000,63.2000000,60.3500000,60.7300000
20191202,1,60.7300000,62.0900000,60.7200000,60.8900000
20191203,2,61.0500000,61.5100000,60.3000000,61.1600000
20191204,3,61.0800000,63.5100000,61.0000000,63.0300000
20191205,4,62.9700000,63.9100000,62.7500000,63.2800000
20191206,5,63.4100000,64.8700000,62.8300000,64.2700000
20191209,1,64.2900000,64.5000000,63.6100000,64.0400000
20191210,2,64.0300000,64.6900000,63.7800000,64.1800000
20191211,3,64.0000000,64.2600000,63.0100000,63.9500000
20191212,4,63.9000000,64.8400000,63.8700000,64.4800000
20191213,5,64.5600000,65.7800000,64.5000000,64.9900000
20191216,1,65.0500000,65.6600000,64.8800000,65.2900000
20191217,2,65.3100000,66.2400000,65.1200000,65.7900000
20191218,3,65.8400000,66.4300000,65.5600000,66.1500000
20191219,4,66.1900000,66.7800000,66.0300000,66.5600000
20191220,5,66.5600000,66.7200000,65.7000000,66.1000000
20191223,1,66.1500000,66.6200000,65.8100000,66.5900000
20191224,2,66.4400000,67.2600000,66.3600000,67.2100000
20191226,4,66.2900000,66.8400000,66.1200000,66.8100000
20191227,5,66.8000000,67.0800000,66.3600000,66.8100000
20191230,1,66.9000000,67.5900000,66.0700000,66.6700000
20191231,2,66.6500000,66.9300000,65.6300000,66.0300000
20200102,4,66.4100000,66.5800000,65.7200000,66.3400000
20200103,5,66.2800000,69.5000000,66.2200000,68.7100000
20200106,1,69.3500000,70.7400000,68.2100000,68.5500000
20200107,2,68.6200000,68.7500000,67.6500000,68.5100000
20200108,3,71.2200000,71.7500000,64.9400000,65.7700000
20200109,4,66.0000000,66.1000000,64.5600000,65.3200000
20200110,5,65.2900000,65.6600000,64.8600000,65.1000000
20200113,1,65.1300000,65.2700000,63.9200000,64.2300000
20200114,2,64.2900000,65.0500000,63.9200000,64.4600000
20200115,3,64.4400000,64.6000000,63.5500000,64.2700000
20200116,4,64.2600000,64.9700000,63.9000000,64.6700000
20200117,5,64.6900000,65.6000000,64.4800000,65.3500000
20200120,1,65.9800000,66.0000000,64.9200000,65.2200000
20200121,2,65.2600000,65.3500000,64.0600000,64.4900000
20200122,3,64.5700000,64.5800000,62.6200000,62.6600000
20200123,4,62.6800000,62.6900000,61.2500000,62.0700000
20200124,5,62.0100000,62.4600000,60.2500000,60.6500000
20200127,1,60.1600000,60.1600000,57.7400000,58.1500000
20200128,2,58.2400000,59.3900000,57.9000000,59.3000000
20200129,3,59.0200000,59.8400000,58.3800000,58.6800000
20200130,4,58.7100000,58.7500000,56.7400000,58.0900000
20200131,5,58.2000000,58.5800000,55.9300000,56.6600000
20200203,1,56.1600000,56.7700000,54.0800000,54.2000000
20200204,2,54.3300000,55.6500000,53.6900000,53.8300000
20200205,3,54.0500000,56.4600000,54.0500000,55.5800000
20200206,4,55.5600000,56.5800000,54.2500000,55.1200000
20200207,5,55.1400000,55.4000000,54.2100000,54.5000000
20200210,1,54.2000000,54.7100000,53.1100000,53.4000000
20200211,2,53.6200000,54.6900000,53.6000000,54.2500000
20200212,3,54.4100000,56.3600000,54.3900000,56.3600000
20200213,4,55.7500000,56.8300000,54.9600000,56.4600000
20200214,5,56.4100000,57.5300000,56.1500000,57.2400000
20200217,1,57.2900000,57.7000000,56.8300000,57.5400000
20200218,2,57.3500000,57.8300000,56.3000000,57.6800000
